Freq,PN
5089.4009515181,-149.7385776059
5168.128856326,-149.7534948938
5248.0746024977,-149.7690245814
5329.257028812,-149.7690841278
5411.6952654646,-149.7796976109
5495.4087385763,-149.7913267265
5580.41717477,-149.8036631496
5666.7406058199,-149.8539297866
5754.3993733716,-149.866330717
5843.4141337352,-149.9380249835
5933.8058627533,-149.9547624774
6025.5958607436,-149.9944991858
6118.8057575182,-150.0143808478
6213.4575174808,-150.0579843611
6309.5734448019,-150.0665598045
6407.1761886755,-150.1368563521
6506.2887486556,-150.1988743453
6606.934480076,-150.2428306974
6709.1370995541,-150.3042518121
6812.9206905796,-150.3523484388
6918.3097091894,-150.3681504499
7025.3289897305,-150.4027031286
7134.0037507126,-150.4307271352
7244.3596007499,-150.4432520558
7356.4225445964,-150.4602163754
7470.2189892733,-150.4812325923
7585.7757502918,-150.4468858409
7703.1200579722,-150.4493557017
7822.27956386,-150.4737244145
7943.2823472428,-150.4366527206
8066.1569217661,-150.4369982169
8190.932242153,-150.4485445877
8317.6377110267,-150.4614552509
8446.3031858397,-150.4538210036
8576.958985909,-150.4809926387
8709.6358995608,-150.4858014623
8844.365191386,-150.5079688755
8981.178609607,-150.5267120459
9120.1083935591,-150.5407872024
9261.1872812879,-150.5845661177
9404.4485172635,-150.6291015327
9549.9258602144,-150.6488405557
9697.6535910825,-150.6935870169
9847.6665211016,-150.7480222305
10000,-150.8003563615
10154.6899243308,-150.8457711933
10311.7727459306,-150.8684990181
10471.285480509,-150.8878491062
10633.2657163716,-150.9426407834
10797.7516232771,-150.9777729304
10964.7819614319,-150.9731650188
11134.3960906236,-150.9987396401
11306.6339794964,-151.0337367869
11481.5362149688,-150.9975704256
11659.1440117983,-150.9778330216
11839.499222293,-150.9740133798
12022.6443461741,-150.9604933781
12208.6225405907,-150.9671981585
12397.4776302894,-150.9749185097
12589.2541179417,-150.9736318929
12783.9971946302,-150.9691486273
12981.7527504985,-150.9601365293
13182.5673855641,-150.9469242973
13386.4884206999,-150.9429843488
13593.5639087853,-150.988699096
13803.8426460288,-151.0305461681
14017.3741834677,-151.0334179794
14234.2088386434,-151.0416970444
14454.3977074593,-151.0497163756
14677.9926762207,-151.0642717293
14905.046433862,-151.0540483576
15135.6124843621,-151.0884984367
15369.7451593527,-151.106615265
15607.4996309211,-151.1281152344
15848.9319246111,-151.1637567993
16094.0989326253,-151.1872932757
16343.0584272314,-151.1814108541
16595.8690743756,-151.20126132
16852.5904475075,-151.2277025081
17113.2830416178,-151.2795005811
17378.0082874938,-151.3253827836
17646.828566195,-151.3694178134
17919.8072237533,-151.3906218435
18197.0085860998,-151.4331910254
18478.4979742229,-151.4568467088
18764.3417195609,-151.4397822689
19054.6071796325,-151.4611020553
19349.3627539095,-151.4922723527
19648.6778999347,-151.5230439378
19952.6231496888,-151.5535213321
20261.2701262114,-151.5564508285
20574.6915604784,-151.5469159793
20892.9613085404,-151.5750277132
21216.1543689268,-151.5904114678
21544.3469003188,-151.5775524972
21877.6162394955,-151.5796759692
22216.0409195581,-151.6334342005
22559.7006884358,-151.6283615132
22908.6765276777,-151.6105935165
23263.0506715363,-151.6171397758
23622.9066263446,-151.6063922079
23988.3291901949,-151.6166242752
24359.4044729203,-151.6151597348
24736.2199163862,-151.6135979319
25118.8643150958,-151.6109772558
25507.4278371136,-151.6342156284
25902.0020453132,-151.6342214497
26302.6799189538,-151.602978698
26709.5558755898,-151.6275557805
27122.7257933203,-151.6627260188
27542.2870333817,-151.6791750809
27968.3384630908,-151.6817938861
28400.9804791421,-151.6896840345
28840.3150312661,-151.711698963
29286.4456462524,-151.7080522856
29739.4774523461,-151.7211306556
30199.5172040202,-151.7442115824
30666.6733071318,-151.7742615604
31141.0558444676,-151.8011552847
31622.7766016838,-151.8009929087
32111.9490936482,-151.7941792547
32608.6885911893,-151.8377199344
33113.1121482591,-151.8770702478
33625.3386295163,-151.8928499283
34145.488738336,-151.9046226157
34673.6850452532,-151.9388954054
35210.0520168452,-151.9255769396
35754.7160450621,-151.9107665818
36307.8054770101,-151.9099042899
36869.4506451958,-151.9276299411
37439.7838982381,-151.8812978531
38018.9396320561,-151.9192252623
38607.0543215381,-151.8898689689
39204.2665527015,-151.8969304995
39810.7170553497,-151.8943369085
40426.5487362344,-151.8782893207
41051.9067127308,-151.8903948014
41686.9383470335,-151.9062970938
42331.7932808821,-151.902380864
42986.6234708228,-152.0158146933
43651.5832240166,-152.1780458318
